17;M6011;"
Generar un fondo de mercado secundario para proveer liquidez, por medio de:
a)Asignar 20%de los recursos del IESS (18.000 millones) para financiamiento sector productivo. 
b)Fondos complementarios del portafolio del BIESS.
c)Establecer montos o porcentajes de inversi¢n a BIESS (montos m¡nimos).
d)Actualizar el manual de valoraciones de papeles inscritos en Bolsa (a largo plazo).";R0332;;;4;7;11;5;12;3;4;12;2;1;2;2;6;
18;M16B65;Legislar para que el SERCOP incluya en compras p£blicas la contrataci¢n de consorcios conformados por la peque¤a y mediana empresa.;R1310;;;2;59;4;3;19;1;1;13;2;1;2;2;6;
19;M4054;Inyectar recursos para que el INIAP, en coordinaci¢n con la Academia y el sector privado desarrollen la investigaci¢n, desarrollo, innovaci¢n y transferencia de tecnolog¡a.;R0215;;;4;32;8;2;2;4;3;14;2;1;2;2;6;
20;M22035;Formaci¢n dual p£blico privado y academia para obtener t‚cnicos especializados en el sector.;R1737;;;3;48;4;3;4;3;3;15;2;1;2;2;6;
21;M16A018;Reformar la seguridad social especifica para la economia popular y solidaria.;R1136;;;2;36;4;3;25;1;2;16;2;1;2;2;6;
22;M19006;" 
Retornar el contrato a plazo fijo.
";R1439;;;2;1;7;3;21;3;2;16;2;1;2;2;6;
23;M14B026;"Reforma a la ley APP para facilitar inversi¢n productiva. 
";R1027;;;4;41;8;3;5;3;4;16;2;1;2;2;6;
24;M14A024;Reformar el COPCI para que sea  gil y operativo para atraer inversi¢n. Crear m s incentivos.;R0961;;;4;8;11;3;8;3;4;16;2;1;2;2;6;
25;M1001;"
Pedir que el Ecuador renegocie los tratados bilaterales de inversi¢n y que la Asamblea los adopte.";R0029;;;4;58;6;5;26;3;4;17;2;1;2;2;6;
26;M10024;"
Repotenciar al sector privado mediante incentivos con la finalidad que adquieran productos o servicios de las Econom¡a Popular y Solidaria (EPS).";R0599;;;3;36;4;5;10;1;1;18;2;1;2;2;6;
27;M16B047;Restablecer los CAT (Certificados de abono tributario).;R1289;;;5;51;11;3;19;3;5;19;2;1;2;2;6;
28;M16A054;Esquema de garant¡a acorde a la realidad de proyectos sin requisitos excesivos, periodo de gracia para capital, fortalecimiento y desarrollo de alternativas de cr‚dito leasing, factoring, otros.;R1172;;;4;16;2;3;25;3;4;20;2;1;2;2;6;
29;M2022;Que la formalizaci¢n del peque¤o productor no genere la p‚rdida de seguro campesino.;R0091;;;5;53;14;4;7;2;2;20;2;1;2;2;6;
30;M5009;Reducci¢n de excesivos requerimientos para productores, menor tiempo en realizaci¢n de tr mites y unificaci¢n de fuentes estatales para no duplicar las gestiones.;R0248;;;2;57;13;1;18;3;2;21;2;1;2;2;6;
31;M21002;"Suscribir Acuerdos Comerciales con mercados estrat‚gicos:
-USA
-Rusia
-Asia";R1651;;;1;58;6;5;6;3;1;22;2;1;2;2;6;
32;M16A001;Suscribir acuerdo comercial con Estados Unidos.;R1118;;;1;58;6;5;25;3;1;22;2;1;2;2;6;
33;M4057;Creaci¢n y utilizaci¢n de fondos de garant¡a (FOGES ? RENAFIPSE).;R0223;;;4;16;2;4;2;3;4;23;2;1;2;2;6;
34;M3003;Establecer medidas de defensa comercial respecto de la normativa internacional, paraÿ sectores afectados por competencia desleal.;R0107;;;1;56;4;3;11;3;1;23;2;1;2;2;6;
