id,problema_solucion,verbo_solucion,sujeto_solucion,complemento_solucion,coordinador_zonal_solucion,responsable_solucion,responsable_sistema,corresponsable_solucion,sistematizador_solucion,lider_mesa_solucion,tipo_fuente,Tipo_Mesa,nombre_ambit,nombre_evento,nombre_instrumento,nombre_provincia,nombre_sector,nombre_sipoc,nombre_tipo_empresa,nombre_estado,supuestos_cumplimientos,riesgos_cumplimiento,plazo_cumplimiento,fecha_cumplimiento,total_actividades,fecha_ultimo_registro
b. Devolución del 100% del exceso calculado (impuesto mínimo) en abril 2018, cuando el anticipo de impuesto a la renta del ejercicio fiscal 2017 sea mayor que el impuesto causado, para las empresas que generen pérdidas (identificar mecanismos para evitar la evasión: i.e lista blanca, TIE ejercicio anterior, no incremento significativo en activos, etc.) 
c. Devolución del 100% del exceso calculado (impuesto mínimo) en abril 2019 (y en adelante), cuando el anticipo de impuesto a la renta del ejercicio fiscal 2018 (y en adelante) sea mayor que el impuesto causado.","Edwin De La portilla",SRI,SRI,N/A,"Secretario ad-hoc","Secretario ad-hoc",2,CCPT,"Optimización y simplificación tributaria","Consejo Consultivo Productivo Tributario (CCPT)-Nacional",Infraestructura,Nacional,"Consejo Consultivo Productivo Tributario (CCPT)",Proceso,Transversal,"En Desarrollo",,,,0000-00-00,7,"2018-04-04 13:28:46"
1984,"Adecuar el marco de contratación laboral a la realidad productiva.","ENTORNO PRODUCTIVO","Retomar el contrato a plazo fijo en reemplazo a contrato indefinido","Que el Consejo Consultivo Productivo y Tributario canalice a través del Consejo Nacional de Trabajo y Salarios, la identificación de aquellas propuestas que requieran reforma legal, y analice la factibilidad de incorporar las Reformas Legales solicitadas en el nuevo Código de Trabajo.","Edwin De La portilla",MDT,MDT,N/A,"Secretario ad-hoc","Secretario ad-hoc",2,CCPT,"Generación de empleo","Consejo Consultivo Productivo Tributario (CCPT)-Nacional",Infraestructura,Nacional,"Consejo Consultivo Productivo Tributario (CCPT)",Proveedores,Transversal,"En Desarrollo",,,,0000-00-00,7,"2018-09-21 11:40:59"
1926,"Impuesto a la Renta",TRIBUTACIÓN,"Modificaciones a la fórmula del cálculo y pago del anticipo de IR y a la tarifa de IR","Reforma a la fórmula de cálculo del anticipo de Impuesto a la Renta (Reforma del Art. 41 de la LORTI, Decreto Ejecutivo y Regulación del SRI)
a. Descontar el 25% en cada uno de los rubros que conforman la fórmula para el cálculo del anticipo, aplicable al cálculo del anticipo de impuesto a la renta 2018.
b.. Descontar el 25% adicional en cada uno de los rubros que conforman la fórmula para el cálculo del anticipo, aplicable al cálculo del anticipo de impuesto a la renta 2019. A partir del 2019, la fórmula del anticipo de impuesto a la renta se establecería como la suma matemática de los siguientes rubros:
- El cero punto uno por ciento (0,1%) del patrimonio total;
- El cero punto uno por ciento (0,1%) del total de costo y gastos;
- El cero punto dos por ciento (0,2%) del activo total;
- El cero punto dos por ciento (0,2%) del total de ingresos gravables a efectos de impuesto a la renta.
c. Eliminar el rubro "costos y gastos" al costo total de sueldos y salarios, participación de trabajadores en utilidades (disenso público), indemnizaciones y aportes patronales, que se paguen a trabajadores afiliados al IESS por concepto de obligaciones laborales. Reforma aplicable al cálculo del anticipo de impuesto a la renta 2018.
d. No contabilizar en los rubros "activos", "costos y gastos" y "patrimonio" a las inversiones nuevas (según la definición del COPCI) que se efectúen en todos los sectores y no solo en aquellos priorizados por el COPCI. Reforma aplicable a cálculo del anticipo de impuesto a la renta 2018.
e. Reformar el esquema de exoneración del anticipo para los sectores o subsectores cuando, por causas no previsibles hayan disminuido drásticamente sus ingresos o visto afectados gravemente en su actividad económica. En este caso, dicha exoneración procedería con informe del Director del Servicio de Rentas Internas dirigido al Presidente de la República, contando de forma facultativa con el informe del Ministerio de ramo o a petición del sector.
","Edwin De La portilla",SRI,SRI,N/A,"Secretario ad-hoc","Secretario ad-hoc",2,CCPT,"Optimización y simplificación tributaria","Consejo Consultivo Productivo Tributario (CCPT)-Nacional",Infraestructura,Nacional,"Consejo Consultivo Productivo Tributario (CCPT)",Proceso,Transversal,"En Desarrollo",,,,0000-00-00,6,"2018-04-04 13:33:42"
1973,"Implementar mecanismos contra la evasión, defraudación fiscal  y corrupción",TRIBUTACIÓN,"Reducir la competencia desleal","Encontrar un mecanismo de reconversión laboral para quienes pierden el empleo en las imprentas,  en virtud de  la implementación de la facturación electrónica para los ARTESANOS, EPS y MIPYMES","Edwin De La portilla",MDT,MDT,N/A,"Secretario ad-hoc","Secretario ad-hoc",2,CCPT,"Cumplimiento de la transparencia fiscal","Consejo Consultivo Productivo Tributario (CCPT)-Nacional",Infraestructura,Nacional,"Consejo Consultivo Productivo Tributario (CCPT)",Proveedores,Transversal,"En Desarrollo",,,,0000-00-00,6,"2018-08-21 10:53:47"
1993,"Establecer un modelo de seguridad social específica para EPS","ENTORNO PRODUCTIVO","Establecer un modelo de seguridad social específica para EPS.","Constituir una mesa técnica tripartita conformada por Ministerio de Trabajo, Instituto Ecuatoriano de Seguridad Social y Superintendencia de Economía Popular y Solidaria, para analizar la factibilidad legal de una modalidad de contratación especial para la EPS, que incluya Seguridad Social específica para los miembros de la EPS.","Edwin De La portilla",MDT,MDT,N/A,"Secretario ad-hoc","Secretario ad-hoc",2,CCPT,"Fomento de la producción nacional","Consejo Consultivo Productivo Tributario (CCPT)-Nacional",Infraestructura,Nacional,"Consejo Consultivo Productivo Tributario (CCPT)",Proveedores,Transversal,"En Desarrollo",,,,0000-00-00,6,"2018-09-21 11:39:13"
1554,"Suspensión de vuelos comerciales hacia la provincia de Carchi",Reactivar,Aeropuerto,"con el fin de dinamizar los procesos de comercio interno y externo","Ing. Jackie Amaguaña","Aviacion Civil/ Gobernación ",DAC,"Gobierno provincial","Milton Goyes","Ing. Jackie Amaguaña",1,"Mesas de Competitividad","Impulso a las alianzas público privadas","MESAS DE COMPETITIVIDAD PROVINCIALES CARCHI-Carchi","Convenios ",Carchi,Transporte,Proceso,Transversal,Finalizado,,,,0000-00-00,6,"2018-07-02 14:50:56"
1640,"Los laboratorios de producciòn de larvas no entregan una larva adecuada para la actividad camaronera, pues la misma tiene un alto indice de mortalidad debido a la baja calidad de la larva y los laboratorios no cumplen los procedimientos establecidos en la normativa, lo que genera perdidas, escasez de larvas de calidad y un alto costo durante el proceso productivo.","Socializar ","la normativa N° MAP-2017-0012-A","para garantizar una buena producciòn de la larva para el sector camaronero","VICENTE TORRES BRICEÑO","MINISTERIO DE ACUACULTURA ",MAP,"CAMARA DE PRODUCTORES DE EL ORO, CAMARA NACIONAL DE ACUACULTURA","Ing. Miguel Castillo","Ing. Wilmer Moreira",1,"Mesas de Competitividad","Fomento de la producción nacional","MESA COMPETITIVA PROVINCIAL EL ORO-El Oro",Acuerdo,"El Oro",Acuícola,Proveedores,"Empresa Pequeña",Finalizado,,,,0000-00-00,6,"2018-07-19 15:28:38"
1974,"Implementar mecanismos contra la evasión, defraudación fiscal  y corrupción",TRIBUTACIÓN,"Reducir la competencia desleal","Profundizar la simplificación de trámites y procesos iniciada por la Administración Tributaria y que debe constituirse como un trabajo continuo y generalizado de todo el Sector Público","Edwin De La portilla",SRI,SRI,N/A,"Secretario ad-hoc","Secretario ad-hoc",2,CCPT,"Cumplimiento de la transparencia fiscal","Consejo Consultivo Productivo Tributario (CCPT)-Nacional",Infraestructura,Nacional,"Consejo Consultivo Productivo Tributario (CCPT)",Proceso,Transversal,Finalizado,,,,0000-00-00,6,"2018-05-14 14:11:18"
2018,"Fomento a la inversión","INVERSION Y FINANCIAMIENTO","Revisión de la actual ley de APPs que la haga atractiva e inclusiva.","Preparar un informe  de viabilidad de las propuestas planteadas para ser  puesto a consideración de la Presidencia de la República.","Edwin De La portilla",MIPRO,MIPRO,N/A,"Secretario ad-hoc","Secretario ad-hoc",2,CCPT,"Crédito y financiamiento productivo","Consejo Consultivo Productivo Tributario (CCPT)-Nacional",Infraestructura,Nacional,"Consejo Consultivo Productivo Tributario (CCPT)",Proceso,Transversal,"En Desarrollo",,,,0000-00-00,6,"2018-04-23 10:21:42"
2042,"Marco Legal e Institucional","INNOVACIÓN, CALIDAD Y EMPRENDIMIENTO","Analizar la creación de una ley de emprendimiento, Re emprendimiento y quiebra","Revisión por parte del CCCPT y presentación de la propuesta de proyecto de ley de emprendimiento que incluya la participación de EPS y ARTESANOS a la Presidencia de la República.
","Edwin De La portilla",MIPRO,MIPRO,N/A,"Secretario ad-hoc","Secretario ad-hoc",2,CCPT,"Impulso al cambio de la matriz productiva","Consejo Consultivo Productivo Tributario (CCPT)-Nacional",Infraestructura,Nacional,"Consejo Consultivo Productivo Tributario (CCPT)",Proceso,Transversal,"En Desarrollo","Intereses opuestos de parte de los involucrados
Interés político de parte de asambleista y comisiones de Asamblea","Fusión de leyes diferentes en una sola ( Ley de Artesanías, EPS y Emprendimiento)",Mediano,2018-09-30,6,"2018-09-05 18:22:46"
2016,"Profundizar en servicios financieros no tradicionales ","INVERSION Y FINANCIAMIENTO","Desarrollar el portafolio de servicios financieros para el sector exportador (EXIMBAN)","Articular y perfeccionar la institucionalidad existente, orientada a ofrecer productos y servicios crediticios para el sector exportador. ","Edwin De La portilla","CFN / BanEcuador",CFN,N/A,"Secretario ad-hoc","Secretario ad-hoc",2,CCPT,"Crédito y financiamiento productivo","Consejo Consultivo Productivo Tributario (CCPT)-Nacional",Infraestructura,Nacional,"Consejo Consultivo Productivo Tributario (CCPT)",Insumos,Transversal,Finalizado,,,,0000-00-00,6,"2018-05-15 11:31:41"
1805,"TRANSPORTE AÉREO DEFICIENTE","AUMENTAR LA FRECUENCIA ","DE LOS VUELOS PARA LA DEMANDA INSATISFECHA","CON UNA LÍNEA AÉREA ALTERNATIVA","Edwin De La portilla",DAC,DAC,GAD-PARROQUIALES,"ING. MARCO ORTEGA"," ING. ALONSO ZUNIGA",1,"Mesas de Competitividad","Atracción de la inversión extranjera directa","MESA COMPETITIVA PROVINCIAL DE LOJA-Loja",Logística,Loja,Transporte,Proceso,"Empresa Grande","En Desarrollo",,,,0000-00-00,5,"2018-07-02 14:47:23"
1546,"Sobreproducción de productos tradicionales agrícolas y lácteos",Incentivar,"la producción y diversificación de productos orgánicos ","con fines de exportación","Edwin De La portilla",MAG,MAG,"INIAP, UPEC, Empresas Privadas","Edwin De La portilla","Edwin De La portilla",1,"Mesas de Competitividad","Fortalecimiento del sector exportador","MESAS DE COMPETITIVIDAD PROVINCIALES CARCHI-Carchi","Desarrollo del proyecto",Carchi,Agroindustria,Mercado,Microempresa,Finalizado,,,,0000-00-00,5,"2018-08-21 10:41:19"
1850,"Falta de capacitación en temas administrativos y de empresa",Proporcionar,"conocimientos tecnicos ","para la correcta adminsitración de la empresa que procesa productos con valor agragado derivados de la pesca","Edwin De La portilla",MAP,MAP,MIPRO,"Edwin De La portilla","Edwin De La portilla",1,"Mesas de Competitividad","Fomento de la producción nacional","MESAS DE COMPETITIVIDAD PROVINCIALES MANABI-Manabí","Asistencia técnica",Manabí,Acuícola,Insumos,Artesano,Finalizado,,,,0000-00-00,5,"2018-07-19 15:29:44"
2058,"Favorecer encadenamientos productivos y asociatividad con MIPYMES, Economía Popular y Solidaria y artesanos en condiciones de sostenibilidad con una política inclusiva","ACCESO A MERCADO","Definir incentivos para la contratación de MIPYMES, EPS y ARTESANOS por parte de otros sectores ","Elaborar e implementar planes de mejora competitiva a  por cadena productiva por parte del sector público y privado, que incluya incentivos financieros y no financieros para los procesos de articulación que contrate a MIPYMES, de la EPS y ARTESANOS. Entre los cuales están:
- Asistencia técnica y ampliación de capacidades técnicas y tecnológicas
- Oferta de información
- Obtención de certificaciones
- Fondo de capital de riesgo
- Acompañamiento y seguimiento
- Fomento a la producción
- Socialización de los incentivos vigentes 
- Entre otros","Edwin De La portilla",MIPRO,MIPRO,N/A,"Secretario ad-hoc","Secretario ad-hoc",2,CCPT,"Promoción del consumo responsable","Consejo Consultivo Productivo Tributario (CCPT)-Nacional",Infraestructura,Nacional,"Consejo Consultivo Productivo Tributario (CCPT)",Mercado,Transversal,"En Desarrollo",,,,NULL,5,"2018-05-14 16:25:07"
2090,"Certificaciones de calidad de insumos veterinarios ",Identificar,"base de registro de proveedores veterinarios certificados","para garantizar productos de calidad ","DR. CARLOS GOMEZ DE CRUZ ",MAG,AGROCALIDAD,"GADS, CAMARAS DE LA PRODUCCIÓN","ING. LAURA TAPIA","ING. ROMAN CARABAJO ALVEAR",1,"Mesas de Competitividad","Promoción del consumo responsable","MESAS COMPETITIVAS PROVINCIALES-Cañar","Big data",Cañar,Agroindustria,Proveedores,Microempresa,"En Desarrollo","La publicación del instructivo en la portada de la página web facilitaría el acceso de la información para personas que tengan acceso a medios digitales.","La falta de coordinación de los procesos internos para la publicación de la información CAUSARIA que el instructivo no pueda publicarse en la  página web de la Agencia  y el usuario externo no pueda acceder a la información",Corto,2018-08-31,5,"2018-09-20 10:17:52"
1965,"Aprovechar los incentivos productivos existentes en el marco legal.",TRIBUTACIÓN,"Evaluación de incentivos y beneficios","Realizar una valoración conjunta de los incentivos y beneficios del COPCI y otros previstos en la normativa tributaria","Edwin De La portilla",MIPRO,MIPRO,N/A,"Secretario ad-hoc","Secretario ad-hoc",2,CCPT,"Optimización y simplificación tributaria","Consejo Consultivo Productivo Tributario (CCPT)-Nacional",Infraestructura,Nacional,"Consejo Consultivo Productivo Tributario (CCPT)",Proceso,Transversal,"En Desarrollo",,,,0000-00-00,4,"2018-05-15 09:09:37"
1966,"Aprovechar los incentivos productivos existentes en el marco legal.",TRIBUTACIÓN,"Difusión permanente de los incentivos","Fortalecer los mecanismos de difusión requeridos: 
- Plataforma Servicio de Rentas Internas
- Difusión de los organismos rectores de la producción
- Campaña de difusión por parte de la SECOM
ejemplo:
- Simplificación de tramitología 
- Optimización en los procesos de requerimientos de información por parte del Servicio de Rentas Internas  ","Edwin De La portilla",MIPRO,MIPRO,N/A,"Secretario ad-hoc","Secretario ad-hoc",2,CCPT,"Optimización y simplificación tributaria","Consejo Consultivo Productivo Tributario (CCPT)-Nacional",Infraestructura,Nacional,"Consejo Consultivo Productivo Tributario (CCPT)",Proceso,Transversal,"En Desarrollo",,,,0000-00-00,4,"2018-05-15 09:14:22"
1986,"Adecuar el marco de contratación laboral a la realidad productiva.","ENTORNO PRODUCTIVO","Revisar la eliminación del recargo en los contratos eventuales.","Evaluar la tipología de contratos y la forma de liquidación del salario de remuneración que reciba de conformidad a las particularidades de cada sector (incluye la remuneración por horas y los recargos en los contratos eventuales).","Edwin De La portilla",MDT,MDT,N/A,"Secretario ad-hoc","Secretario ad-hoc",2,CCPT,"Generación de empleo","Consejo Consultivo Productivo Tributario (CCPT)-Nacional",Infraestructura,Nacional,"Consejo Consultivo Productivo Tributario (CCPT)",Proveedores,Transversal,"En Desarrollo",,,,0000-00-00,4,"2018-09-21 11:33:01"
1988,"Fortalecer la institucionalidad de EPS","ENTORNO PRODUCTIVO","Implementar las políticas de la EPS a través de las  de  instituciones públicas y privadas relacionadas ","Evaluar la posibilidad de creación de un Ministerio rector de la EPS","Edwin De La portilla",MIPRO,MIPRO,N/A,"Secretario ad-hoc","Secretario ad-hoc",2,CCPT,"Fomento de la producción nacional","Consejo Consultivo Productivo Tributario (CCPT)-Nacional",Infraestructura,Nacional,"Consejo Consultivo Productivo Tributario (CCPT)",Proceso,Transversal,"En Desarrollo",,,,0000-00-00,4,"2018-05-14 16:51:42"
1575,"DESVALORACIÓN DE PRODUCTOS ANDINOS SUBCEPTIBLES DE CONSUMO INTERNO Y EXPORTACION",Desarrollar,campañas,"que fomente el consumo de productos (andinos y nacionales)","GUSTAVO CAMELOS",MAG,MAG,"MSP, SECOM","JUAN ESCOBAR ","PAUL AGUIRRE ",1,"Mesas de Competitividad","Promoción del consumo responsable","MESAS DE COMPETITIVIDAD PROVINCIALES CHIMBORAZO-Chimborazo","Desarrollo del proyecto",Chimborazo,Agroindustria,Mercado,Microempresa,Finalizado,,,,0000-00-00,4,"2018-08-21 15:45:15"
1588,"COSTOS DE PRODUCCION AGRICOLA SUPERIOR A LOS INGRESOS POR VENTAS",FOMENTAR,"EN PRODUCTORES AGRÍCOLAS","PAQUETES TECNOLOGICOS, QUE PERMITAN MEJORAR PRODUCTIVIDAD DE  AGRICULTORES","GUSTAVO CAMELOS",MAG,MAG,"INIAP, ACADEMIA, AGROCALIDAD","ING. OMAR NEGRETE COSTALES, ING. FLAVIO CELIN","ING. MARTHA ROMERO FLORES",1,"Mesas de Competitividad","Fomento de la producción nacional","MESAS DE COMPETITIVIDAD PROVINCIALES CHIMBORAZO-Chimborazo","Asistencia técnica",Chimborazo,Comercio,Proceso,EPS,Finalizado,,,,0000-00-00,4,"2018-08-21 15:51:01"
1686,"Carencia de producción en el mar",Otorgar,"asistencia técnica","en la implementación y equipamiento de piscinas","Douglas Recalde","Ban Ecuador",MAP,"MIPRO, ARCSA, CFN, Subsecretaría de Recursos Pesqueros","SRTA. BEATRIZ FRANCIS","ING. GABRIELA ZAMBRANO",1,"Mesas de Competitividad","Fomento de la producción nacional","Mesa de Competitividad Esmeraldas-Esmeraldas",Financiamiento,Esmeraldas,Acuícola,Proceso,Transversal,Finalizado,,,,0000-00-00,4,"2018-07-19 15:30:12"
1687,"PLAGAS LA MONILIA ","CAPACITAR ","AL SECTOR PRODUCTIVO DE CACAO","EN ELCONTROL DE PLAGAS Y ENFERMEDADES ","Douglas Recalde",MAG,MAG,"Centro Tecnológico de Entrenamiento y Capacitación (CETEC), Instituto Nacional de Investigaciones Agropecuarias (INIAP)","DENNISSE ESPINOZA ","ING.PAUL ALENCASTRO",1,"Mesas de Competitividad","Fomento de la producción nacional","MESA COMPETITIVA PROVINCIAL Esmeraldas-Esmeraldas","Asistencia técnica",Esmeraldas,Agroindustria,Proceso,Microempresa,Finalizado,,,,0000-00-00,4,"2018-08-21 10:40:06"
1694,"PRESENCIA DE ENFERMEDADES EN EL GANADO VACUNO",ESTABLECER,"COMO POLITICA DE ESTADO","EL CONTROL DE ENFERMEDADES DEL GANADO VACUNO ","Douglas Recalde",AGROCALIDAD,AGROCALIDAD,"CENTRO INTERNACIONAL DE ZOONOSIS","DENNISSE ESPINOZA ","ING.PAUL ALENCASTRO",1,"Mesas de Competitividad","Fomento de la producción nacional","MESA COMPETITIVA PROVINCIAL Esmeraldas-Esmeraldas",Ley,Esmeraldas,Agroindustria,Producto,"Empresa Pequeña",Finalizado,"La página web se encuentra diseñada para el correcto  uso y manejo por parte del usuario interno y externo, la misma que contiene información necesaria para el conocimiento de la ciudadanía.","no posee",Corto,2018-07-30,4,"2018-08-17 11:26:29"
1704,"BUENAS PRÁCTICAS AGRÍCOLAS","GESTIONAR ",CAPACITACIONES,"en buenas prácticas agrícolas en PRODUCTOS DE CACAO (PARROQUIA LAGARTO, CANTON RIOVERDE y Cantón Esmeraldas), con acercamiento de certificadoras acreditadas, para su IMPLEMENTACION POR PARTE DE LOS PRODUCTORES","Douglas Recalde",AGROCALIDAD,AGROCALIDAD,"Asociaciones, MIPRO","JOJAIRA LOOR","ING. OSCAR MARTINEZ",1,"Mesas de Competitividad","Fomento de la producción nacional","MESA COMPETITIVA PROVINCIAL Esmeraldas-Esmeraldas","Asistencia técnica",Esmeraldas,Industria,Producto,Transversal,Finalizado,"Apoyo de instituciones públicas y privadas para brindar el asesoramiento técnico a los productores interesados en implementar BPA para Cacao.","Las asociaciones de productores o productores independientes con poco interés de recibir la capacitación en relación a las Buenas Prácticas Agrícolas para Cacao CAUSARÍA desconocimiento para la aplicación de este proceso e incumplimiento de los requisitos que solicita la institución.",Mediano,2018-09-30,4,"2018-09-20 10:00:16"
1718,"No se verifica que quienes se catalogan cumplan con requisitos mínimos",Realizar,"inspecciones minuciosas ","para verificar el cumplimiento de requisitos mínimos a quienes se registren en el catálogo del SERCOP ","CZ1 (Douglas Recalde)",SERCOP,SERCOP,"INSTITUCIONES PÚBLICAS REQUIRIENTES","Srta. Stephania Espinal (UTPLVT)","Msc. Gabriela Arias",1,"Mesas de Competitividad","Cumplimiento de la transparencia fiscal","MESAS DE COMPETITIVIDAD PROVINCIALES Esmeraldas-Esmeraldas","Contratación pública",Esmeraldas,Comercio,Proceso,Transversal,Finalizado,"Se parte del supuesto que sobre la veracidad de los documentos y las declaraciones juramentadas solicitadas.","La implementación de nuevos mecanismos de control de condiciones de participación causaría la demora en la calificación de proveedores en el catálogo electrónico.",Mediano,0000-00-00,4,"2018-06-14 09:33:18"
1785,"Debilidad en temas de asociatividad entre emprendedores y/o empresarios",Crear,"una unidad","de desarrollo productivo y empresarial","Edwin De La portilla",MAG,MAG,"MIPRO CZ7, SOMOS LOJA","Ma. Alejandra Armijos","Wilson Cabrera",1,"Mesas de Competitividad","Impulso a las alianzas público privadas","Mesas de competitividad Loja-Loja","Intervención zonal",Loja,Agroindustria,Proceso,Transversal,Finalizado,,,,0000-00-00,4,"2018-08-21 10:43:28"
1794,"No existe información sistematizada a nivel nacional respecto a posibles proveedores de las industrias",Generar,"una base de datos virtual","de acceso público para búsqueda de proveedores","Mgs. Vicente Torres"," MAG",MAG,", AGROCALIDAD, ARCSA, MIPRO,Sector Industrial","María del Cisne Larrea Palacio","Alex Valdivieso",1,"Mesas de Competitividad","Fomento de la producción nacional","Mesas de Competitividad Provincial LOJA-Loja","Big data",Loja,Industria,Proveedores,Transversal,Finalizado,,,,0000-00-00,4,"2018-08-21 15:53:38"
1803,"ESTADO DE LAS VÍAS PARA EL DESARROLO PRODUCTIVO","MEJORAR ","EL SISTEMA VIAL INTERPARRIOQUIAL E INTERCANTONAL ","PARA OPTIMIZAR LA PRODUCCIÓN Y LA COMERCIALIZACIÓN","Edwin De La portilla",MTOP,MTOP,"MIPRO ,GAD-PARROQUIALES","ING. MARCO ORTEGA"," ING. ALONSO ZUNIGA",1,"Mesas de Competitividad","Fomento de la producción nacional","MESA COMPETITIVA PROVINCIAL DE LOJA-Loja","Convenios ",Loja,Transporte,Insumos,Transversal,Finalizado,,,,0000-00-00,4,"2018-05-23 16:47:11"
1818,"Inadecuado manejo de cría y faenado de ganado",CAPACITAR,"en metodologías de buenas prácticas pecuarias","en la crianza y faenamiento de ganado para el mejor cuidado del cuero","Edwin De La portilla",Agrocalidad,AGROCALIDAD,MIPRO,"JAVIER DEFAZ","JUAN LOZA",1,"Mesas de Competitividad","Promoción del consumo responsable","MESA PRODUCTIVA-Tungurahua","Asistencia técnica",Tungurahua,Industria,Proveedores,Transversal,Finalizado,"Apoyo de instituciones públicas y privadas para brindar el asesoramiento técnico a los productores interesados en implementar BPA.","Las asociaciones de productores o productores independientes con poco interés de recibir la capacitación en relación a las Buenas Prácticas  CAUSARÍA desconocimiento para la aplicación de este proceso e incumplimiento de los requisitos que solicita la institución.",Corto,2018-08-31,4,"2018-09-20 09:59:18"
